"","Region","Month","Year","Rainfall","Soil_Moisture","ET_Anomaly","ET","Temp"
"199","Canada",8,2001,2.21394163647136,0.26561077340544,NA,NA,17.0695973871603
"200","Manitoba",8,2001,4.07157639708215,0.232738811848234,NA,NA,22.0873577241127
"201","New Brunswick",8,2001,2.01991975825861,0.245126229995822,NA,NA,23.5862618932815
"202","Newfoundland and Labrador",8,2001,2.59375580005741,0.240400112222912,NA,NA,19.546426500354
"203","Northwest Territories",8,2001,1.88519220668399,0.23802501424899,NA,NA,14.7825197782962
"204","Nova Scotia",8,2001,2.2899063096643,0.23607803700787,NA,NA,23.8228303639923
"205","Nunavut",8,2001,1.49470481153324,0.337062144341914,NA,NA,8.72564098520769
"206","Ontario",8,2001,4.39140394527322,0.251764414229484,NA,NA,22.8173502356661
"207","Prince Edward Island",8,2001,1.64144760559444,0.185028867479027,NA,NA,26.4066804598545
"208","Québec",8,2001,3.37721080395817,0.23514171227743,NA,NA,19.0260022062174
"209","Saskatchewan",8,2001,1.56771269586679,0.170754289792777,NA,NA,27.2360564768774
"210","Yukon",8,2001,0.586168723015515,0.255732683180507,NA,NA,16.1139369214935
"211","Alberta",9,2001,1.32790119084832,0.19083112186479,NA,NA,18.5564652587276
"212","British Columbia",9,2001,2.09535763579858,0.277054755601242,NA,NA,12.6243530380098
"213","Canada",9,2001,2.48043741657658,0.275852419759363,NA,NA,8.7016355998063
"214","Manitoba",9,2001,2.80316416226447,0.243501029455389,NA,NA,16.357249289322
"215","New Brunswick",9,2001,3.03468892964349,0.236672173041535,NA,NA,18.9134608386609
"216","Newfoundland and Labrador",9,2001,3.05238439142908,0.26489499866912,NA,NA,12.6120630223591
"217","Northwest Territories",9,2001,2.7274198445735,0.240878478733945,NA,NA,8.20480242453916
"218","Nova Scotia",9,2001,2.07118556762006,0.229403387303059,NA,NA,19.2729721806087
"219","Nunavut",9,2001,1.64516113882177,0.338521074750701,NA,NA,-2.0452557293603
"220","Ontario",9,2001,3.63862727890204,0.269846186215311,NA,NA,16.5231013852357
"221","Prince Edward Island",9,2001,2.52728724648029,0.187343162392219,NA,NA,20.7199515560458
"222","Québec",9,2001,4.19549748870531,0.268316747800742,NA,NA,12.4591507888858
"223","Saskatchewan",9,2001,2.35745354298573,0.191875383101433,NA,NA,20.0306864927667
"224","Yukon",9,2001,0.708439810692233,0.277000842260725,NA,NA,8.11707160486931
"225","Alberta",10,2001,0.658880870566975,0.19521440706249,NA,NA,6.3387299642458
"226","British Columbia",10,2001,2.37791843218692,0.323610494550283,NA,NA,1.34502448822982
"227","Canada",10,2001,2.56015256703529,0.289335325236057,NA,NA,-7.58989496077811
"228","Manitoba",10,2001,1.34019235795308,0.246420551794336,NA,NA,4.40220951442295
"229","New Brunswick",10,2001,3.9073453808025,0.261440671812717,NA,NA,12.0451987147791
"230","Newfoundland and Labrador",10,2001,3.38581279896534,0.276363098960446,NA,NA,5.7596585947282
"231","Northwest Territories",10,2001,0.639629525956049,0.255448713180649,NA,NA,-11.8416106771335
"232","Nova Scotia",10,2001,3.81910043016013,0.246237425231268,NA,NA,14.0451604146865
"233","Nunavut",10,2001,1.14601694032805,0.353127756563455,NA,NA,-18.9991329774881
"234","Ontario",10,2001,4.97858121888852,0.278331525796585,NA,NA,7.13539516254276
"235","Prince Edward Island",10,2001,3.61497095371029,0.217011239748529,NA,NA,14.360355623835
"236","Québec",10,2001,4.53640749515926,0.269723650613461,NA,NA,3.33748177802944
"237","Saskatchewan",10,2001,0.893788236325606,0.189941350523216,NA,NA,6.79673583148114
"238","Yukon",10,2001,0.499967312835161,0.301730849754005,NA,NA,-8.48370257899603
"239","Alberta",11,2001,0.30662265671296,0.232780189896771,NA,NA,-2.17235910987344
"240","British Columbia",11,2001,2.99893148433745,0.368600586118708,NA,NA,-8.33764386205805
"241","Canada",11,2001,2.27177413179083,0.308052701951051,NA,NA,-19.3449454640797
"242","Manitoba",11,2001,0.722185835246896,0.281142001345634,NA,NA,-7.49366824698365
"243","New Brunswick",11,2001,2.2162816967632,0.283028497801751,NA,NA,2.89356602240453
"244","Newfoundland and Labrador",11,2001,5.37216069815335,0.31718438042561,NA,NA,-6.88869327479238
"245","Northwest Territories",11,2001,0.258266518913215,0.255416825245543,NA,NA,-21.9252501392875
"246","Nova Scotia",11,2001,2.24869958108704,0.275639685528828,NA,NA,5.39482087389432
"247","Nunavut",11,2001,0.352052701768831,0.353616688097417,NA,NA,-26.8786089071017
"248","Ontario",11,2001,2.09882715259395,0.328347293002687,NA,NA,1.83391032025092
"249","Prince Edward Island",11,2001,1.84629842935712,0.254457928911522,NA,NA,4.273412800517
"250","Québec",11,2001,3.66545023492954,0.301154361160914,NA,NA,-9.77686024691012
"251","Saskatchewan",11,2001,0.643979940568237,0.212417665439751,NA,NA,-2.6679873432514
"252","Yukon",11,2001,0.205457012967672,0.307513844359751,NA,NA,-18.7085839827037
"253","Alberta",12,2001,0.398667941561721,0.253063066616679,NA,NA,-15.4064332075109
"254","British Columbia",12,2001,3.23778202278927,0.388339867215821,NA,NA,-14.2208279113518
"255","Canada",12,2001,1.81007643360233,0.32196365415726,NA,NA,-22.8620079053487
"256","Manitoba",12,2001,0.731030901710736,0.289392784522208,NA,NA,-18.7730777205484
"257","New Brunswick",12,2001,0.927082170837231,0.317473977075512,NA,NA,-1.93527316743858
"258","Newfoundland and Labrador",12,2001,2.74654372512603,0.378380190954386,NA,NA,-11.7168879874306
"259","Northwest Territories",12,2001,0.060848242460401,0.255344003517462,NA,NA,-25.7787350316754
"260","Nova Scotia",12,2001,1.98657008901066,0.306950099977191,NA,NA,-0.498423874379842
"261","Nunavut",12,2001,0.204794688922809,0.352226955549278,NA,NA,-28.1041400093617
"262","Ontario",12,2001,2.22369434834981,0.375573586991963,NA,NA,-12.0902944020397
"263","Prince Edward Island",12,2001,1.24887497561717,0.278948777811809,NA,NA,-1.00204181653156
"264","Québec",12,2001,2.27762188036297,0.336306273680765,NA,NA,-13.2148606374446
"265","Saskatchewan",12,2001,0.294637162646088,0.225916400036048,NA,NA,-15.6561521468868
"266","Yukon",12,2001,0.249739499371425,0.308891313643724,NA,NA,-23.4949227491628
"267","Alberta",1,2002,1.8385112430984,0.292714745596101,NA,NA,-15.718756629736
"268","British Columbia",1,2002,2.69813005418051,0.411277999785579,NA,NA,-12.7973212466812
"269","Canada",1,2002,2.25698506206806,0.333347144685572,NA,NA,-28.0993258397336
"270","Manitoba",1,2002,1.73999564059749,0.310822975758849,NA,NA,-24.0533441337993
"271","New Brunswick",1,2002,1.78281503904694,0.34055367830913,NA,NA,-10.4040458181726
"272","Newfoundland and Labrador",1,2002,1.4398711263957,0.389765474993643,NA,NA,-22.8194542423683
"273","Northwest Territories",1,2002,0.0427014631928061,0.260266416597729,NA,NA,-29.0494269703459
"274","Nova Scotia",1,2002,3.1863243988462,0.394619271399765,NA,NA,-7.10510008293506
"275","Nunavut",1,2002,0.103385010241951,0.351434592867617,NA,NA,-34.1354112879224
"276","Ontario",1,2002,5.4822747754777,0.402989927627674,NA,NA,-20.8397101256567
"277","Prince Edward Island",1,2002,2.1118039491621,0.336927864596717,NA,NA,-9.79283989524867
"278","Québec",1,2002,0.618834668073927,0.342276850209975,NA,NA,-24.8687337086793
"279","Saskatchewan",1,2002,1.98596190712963,0.253016179908851,NA,NA,-20.8449209896862
"280","Yukon",1,2002,0.12800478887658,0.315837271604045,NA,NA,-20.4203829924903
"281","Alberta",2,2002,0.764600104984909,0.320711918444228,NA,NA,-9.05294675767015
"282","British Columbia",2,2002,1.8256096909687,0.417208169980933,NA,NA,-9.56451070468247
"283","Canada",2,2002,1.00199010250242,0.338617202611678,NA,NA,-27.4301928786366
"284","Manitoba",2,2002,0.335248869883169,0.320146596836789,NA,NA,-17.9501070992888
"285","New Brunswick",2,2002,1.48030365164143,0.392898175733611,NA,NA,-9.36372069332611
"286","Newfoundland and Labrador",2,2002,1.14070752541563,0.394753414344186,NA,NA,-21.500859685615
"287","Northwest Territories",2,2002,0.0485787662990785,0.26038620317969,NA,NA,-30.7719268987105
"288","Nova Scotia",2,2002,4.38411790154259,0.425828263824153,NA,NA,-5.67599173139006
"289","Nunavut",2,2002,0.00453084883930799,0.350745274001881,NA,NA,-37.5554102123974
"290","Ontario",2,2002,1.21816299192539,0.409853797178921,NA,NA,-16.5648731798456
"291","Prince Edward Island",2,2002,1.99153690950398,0.413417874517233,NA,NA,-8.34500805630746
"292","Québec",2,2002,0.586623745357302,0.346560387907166,NA,NA,-22.9316327822411
"293","Saskatchewan",2,2002,0.907736940973268,0.275301721355135,NA,NA,-11.3627918351262
"294","Yukon",2,2002,0.00107564734634088,0.315846904366581,NA,NA,-20.8666869059857
"295","Alberta",3,2002,0.371952323153796,0.340035549303302,NA,NA,-16.3243229677808
"296","British Columbia",3,2002,1.16795062440083,0.419297170238429,NA,NA,-12.987959342841
"297","Canada",3,2002,0.865505729836973,0.34213178000309,NA,NA,-23.4628342106446
"298","Manitoba",3,2002,0.245369402081203,0.322117185239601,NA,NA,-18.3034596714195
"299","New Brunswick",3,2002,1.3317564151494,0.424427710883818,NA,NA,-2.38920054254071
"300","Newfoundland and Labrador",3,2002,2.28831029254376,0.40190300228643,NA,NA,-14.7218693956104
"301","Northwest Territories",3,2002,0.0106860912607782,0.259529118284806,NA,NA,-25.5207754084108
"302","Nova Scotia",3,2002,3.80175764478701,0.351269427476527,NA,NA,0.159778742063846
"303","Nunavut",3,2002,0.0614279680937392,0.349485474818363,NA,NA,-32.3473532420365
"304","Ontario",3,2002,0.67884615153259,0.411486143387097,NA,NA,-12.0976651497706
"305","Prince Edward Island",3,2002,2.50922517325501,0.379620045133668,NA,NA,-0.605502020236929
