"Region","month","year","Value"
"Manitoba",1,2002,0.310822975758849
"New Brunswick",1,2002,0.34055367830913
"Newfoundland and Labrador",1,2002,0.389765474993643
"Northwest Territories",1,2002,0.260266416597729
"Nova Scotia",1,2002,0.394619271399765
"Nunavut",1,2002,0.351434592867617
"Ontario",1,2002,0.402989927627674
"Prince Edward Island",1,2002,0.336927864596717
"Québec",1,2002,0.342276850209975
"Saskatchewan",1,2002,0.253016179908851
"Yukon",1,2002,0.315837271604045
"Alberta",2,2002,0.320711918444228
"British Columbia",2,2002,0.417208169980933
"Canada",2,2002,0.338617202611678
"Manitoba",2,2002,0.320146596836789
"New Brunswick",2,2002,0.392898175733611
"Newfoundland and Labrador",2,2002,0.394753414344186
"Northwest Territories",2,2002,0.26038620317969
"Nova Scotia",2,2002,0.425828263824153
"Nunavut",2,2002,0.350745274001881
"Ontario",2,2002,0.409853797178921
"Prince Edward Island",2,2002,0.413417874517233
"Québec",2,2002,0.346560387907166
"Saskatchewan",2,2002,0.275301721355135
"Yukon",2,2002,0.315846904366581
"Alberta",3,2002,0.340035549303302
"British Columbia",3,2002,0.419297170238429
"Canada",3,2002,0.34213178000309
"Manitoba",3,2002,0.322117185239601
"New Brunswick",3,2002,0.424427710883818
"Newfoundland and Labrador",3,2002,0.40190300228643
"Northwest Territories",3,2002,0.259529118284806
"Nova Scotia",3,2002,0.351269427476527
"Nunavut",3,2002,0.349485474818363
"Ontario",3,2002,0.411486143387097
"Prince Edward Island",3,2002,0.379620045133668
"Québec",3,2002,0.360597761825562
"Saskatchewan",3,2002,0.286617927479603
"Yukon",3,2002,0.315956801524242
"Alberta",4,2002,0.362857372958447
"British Columbia",4,2002,0.416332714442042
"Canada",4,2002,0.346028687635591
"Manitoba",4,2002,0.363218912935596
"New Brunswick",4,2002,0.337957916998689
"Newfoundland and Labrador",4,2002,0.397484398441082
"Northwest Territories",4,2002,0.266394187190713
"Nova Scotia",4,2002,0.307896305319021
"Nunavut",4,2002,0.347093067197495
"Ontario",4,2002,0.397027239753125
"Prince Edward Island",4,2002,0.30109833190462
"Québec",4,2002,0.365723762298659
"Saskatchewan",4,2002,0.307452015693761
"Yukon",4,2002,0.322697716169193
"Alberta",5,2002,0.259284270064891
"British Columbia",5,2002,0.371585142148595
"Canada",5,2002,0.322773996941617
"Manitoba",5,2002,0.329795666879569
"New Brunswick",5,2002,0.277810140514474
"Newfoundland and Labrador",5,2002,0.374648221881099
"Northwest Territories",5,2002,0.287505119400697
"Nova Scotia",5,2002,0.291060245274849
"Nunavut",5,2002,0.344651536861862
"Ontario",5,2002,0.313153796072943
"Prince Edward Island",5,2002,0.283574101205576
"Québec",5,2002,0.331194112119288
"Saskatchewan",5,2002,0.225870055003116
"Yukon",5,2002,0.359257296375854
"Alberta",6,2002,0.195072555893253
"British Columbia",6,2002,0.289228005271458
"Canada",6,2002,0.272900365017662
"Manitoba",6,2002,0.233375270798509
"New Brunswick",6,2002,0.283668628247046
"Newfoundland and Labrador",6,2002,0.272802873579185
"Northwest Territories",6,2002,0.21448999999905
"Nova Scotia",6,2002,0.286506364342439
"Nunavut",6,2002,0.343972039876446
"Ontario",6,2002,0.264984016839098
"Prince Edward Island",6,2002,0.278297970675831
"Québec",6,2002,0.270190338120288
"Saskatchewan",6,2002,0.193688424374357
"Yukon",6,2002,0.243026001975969
"Alberta",7,2002,0.204034778905709
"British Columbia",7,2002,0.275573568508341
"Canada",7,2002,0.267717044552145
"Manitoba",7,2002,0.226685035409595
"New Brunswick",7,2002,0.279894374040723
"Newfoundland and Labrador",7,2002,0.256746838370447
"Northwest Territories",7,2002,0.220660672112456
"Nova Scotia",7,2002,0.272773901112946
"Nunavut",7,2002,0.344983722549958
"Ontario",7,2002,0.251314931539592
"Prince Edward Island",7,2002,0.25780643800236
"Québec",7,2002,0.236371441037243
"Saskatchewan",7,2002,0.201341982458865
"Yukon",7,2002,0.242421145833143
"Alberta",8,2002,0.202008792963747
"British Columbia",8,2002,0.256553685634333
"Canada",8,2002,0.283936900208006
"Manitoba",8,2002,0.249664129918228
"New Brunswick",8,2002,0.255146621452511
"Newfoundland and Labrador",8,2002,0.263404031875944
"Northwest Territories",8,2002,0.256136515571017
"Nova Scotia",8,2002,0.24927402590929
"Nunavut",8,2002,0.363525889871279
"Ontario",8,2002,0.261599273773794
"Prince Edward Island",8,2002,0.224039570962657
"Québec",8,2002,0.248775435355748
"Saskatchewan",8,2002,0.219633609694773
